Taxon	Synonyms	Chromosomes (1N=)	Disagreement	Source
V. acerifolium		9		Sax & Kribs (1930); Egolf (1956) p.7; Janaki-Ammal (1953)
V. awabucki	V. odoratissimum	10		Sugiura (1936); Egolf (1956) p. 7
V. betulifolium		9		Janaki-Ammal (1953); Egolf (1956) p. 8
V. bitchiuense		(8,X)	8=J-A	Janaki-Ammal (1953); Egolf (1956) p. 8
V. bodnantense	hybrid	8		Janaki-Ammal (1953); Egolf (1956) p. 8
V. buddleifolium		(9,10)	10=J-A	Simonet & Miedzyrzecki (1932); Egolf (1956) p.7; Janaki-Ammal (1953)
V. carlesii		(9,10)	10=J-A	Simonet & Miedzyrzecki (1932); Egolf (1956) p.7; Poucques (1949); Janaki-Ammal (1953)
V. cinnamomifolium		9		Janaki-Ammal (1953); Egolf (1956) p. 8
V. cotonifolium		9		Poucques (1946); Egolf (1956) p. 7
V. davidii		9		Janaki-Ammal (1953); Egolf (1956) p. 8
V. dentatum		(27,X)	27=J-A	Janaki-Ammal (1953); Egolf (1956) p. 8
V. erubescens		(24,X)	24=J-A	Janaki-Ammal (1953); Egolf (1956) p. 8
V. foetens		(8,X)	8=J-A	Janaki-Ammal (1953); Egolf (1956) p. 8
V. foetidum		(8,X)	8=J-A	Janaki-Ammal (1953); Egolf (1956) p. 8 CHECK THESE VALUES
V. foetidum var. rectargulatum		(8,X)	8=J-A	Janaki-Ammal (1953); Egolf (1956) p. 8
V. fragrans		8		Simonet & Miedzyrzecki (1932); Egolf (1956) p.7; Janaki-Ammal (1953)
V. fragrans var. alba		(16,X)	16=J-A	Janaki-Ammal (1953); Egolf (1956) p. 8
V. furcatum		9		Janaki-Ammal (1953); Egolf (1956) p. 8
V. grandiflorum		8		Janaki-Ammal (1953); Egolf (1956) p. 8
V. harryanum		9		Poucques (1946); Egolf (1956) p. 7
V. henryi		(24,X)	24=J-A	Janaki-Ammal (1953); Egolf (1956) p. 8
V. hupehense		9		Sax & Kribs (1930); Egolf (1956) p.7
V. hypehense		9		Simonet & Miedzyrzecki (1932); Egolf (1956) p.7
V. lantana		9		Sax & Kribs (1930); Egolf (1956) p.7; Poucques (1949); Janaki-Ammal (1953)
V. lantanoides	V. alnifolium	9		Sax & Kribs (1930); Egolf (1956) p.7; Janaki-Ammal (1953)
V. lentago		9		Sax & Kribs (1930); Egolf (1956) p.7; Janaki-Ammal (1953)
V. lobophyllum		(9,10,11)	9=S&K, 10&11=J-A	Sax & Kribs (1930); Egolf (1956) p.7; Janaki-Ammal (1953)
V. mongolieum		(8,X)	8=J-A	Janaki-Ammal (1953); Egolf (1956) p. 8
V. nudum		9		Janaki-Ammal (1953); Egolf (1956) p. 8
V. odoratissimum		(20,X)	20=J-A	Janaki-Ammal (1953); Egolf (1956) p. 8
V. opulus		9		Sax & Kribs (1930); Egolf (1956) p.7; Janaki-Ammal (1953)
V. ovatifolium		(9,X)		Janaki-Ammal (1953); Egolf (1956) p. 8
V. plicatum	V. tomentosum	(9,X)	9=J-A	Sax & Kribs (1930); Egolf (1956) p.7; Janaki-Ammal (1953)
V. propinquum		9		Poucques (1946); Egolf (1956) p. 7
V. prunifolium		9		Janaki-Ammal (1953); Egolf (1956) p. 8
V. rhytidophyllum		9		Simonet & Miedzyrzecki (1932); Egolf (1956) p.7; Janaki-Ammal (1953)
V. rhytidophyllum var. fol.		9		Simonet & Miedzyrzecki (1932); Egolf (1956) p.7
V. sargentii		9		Sax & Kribs (1930); Egolf (1956) p.7
V. setigerum	V. theiferum	9		Simonet & Miedzyrzecki (1932); Egolf (1956) p.7
V. sieboldii		(8,X)	8=J-A	Janaki-Ammal (1953); Egolf (1956) p. 8
V. suspensum	V. sandankwa	9		Poucques (1946); Egolf (1956) p. 7
V. suspensum		8		Janaki-Ammal (1953); Egolf (1956) p. 9
V. tinus		18		Feng (1934); Simonet & Miedzyrzecki (1932); Egolf (1956) p.7; Poucques (1946); Janaki-Ammal (1953)
V. trilobum		9		Sax & Kribs (1930); Egolf (1956) p.7
V. utile		9		Janaki-Ammal (1953); Egolf (1956) p. 9
V. wrightii		(8,X)	8=J-A	Janaki-Ammal (1953); Egolf (1956) p. 9

V. muhalla  V. stipulatum synonym...
